"Veuillez s.v.p citer les données de telle manière: GLAMOS 1881-2023, The Swiss Glaciers 1880-2022/23, Glaciological Reports No 1-142, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series."
Variation cumulativ de la longueur (m)
Glacier name,Glacier ID,Start date of observation,End date of observation,Value
Gornergletscher,B56-07,1882-09-01,1883-09-01,0
Gornergletscher,B56-07,1883-09-01,1885-09-01,4
Gornergletscher,B56-07,1885-09-01,1886-09-01,4
Gornergletscher,B56-07,1890-09-01,1891-09-01,4
Gornergletscher,B56-07,1892-09-01,1893-09-01,-22
Gornergletscher,B56-07,1893-09-01,1894-09-01,-48
Gornergletscher,B56-07,1894-09-01,1896-09-01,-52
Gornergletscher,B56-07,1896-09-01,1897-09-01,-61
Gornergletscher,B56-07,1897-09-01,1898-09-01,-69
Gornergletscher,B56-07,1898-09-01,1899-09-01,-72
Gornergletscher,B56-07,1899-09-01,1900-09-01,-77
Gornergletscher,B56-07,1900-09-01,1901-09-01,-87
Gornergletscher,B56-07,1901-09-01,1902-09-01,-93
Gornergletscher,B56-07,1902-09-01,1903-09-01,-98
Gornergletscher,B56-07,1903-09-01,1904-09-01,-103
Gornergletscher,B56-07,1904-09-01,1905-09-01,-108
Gornergletscher,B56-07,1905-09-01,1906-09-01,-115
Gornergletscher,B56-07,1906-09-01,1907-09-01,-117
Gornergletscher,B56-07,1907-09-01,1908-09-01,-120
Gornergletscher,B56-07,1908-09-01,1910-09-01,-137
Gornergletscher,B56-07,1910-09-01,1911-09-01,-142
Gornergletscher,B56-07,1911-09-01,1912-09-01,-149
Gornergletscher,B56-07,1912-09-01,1913-09-01,-155
Gornergletscher,B56-07,1913-09-01,1914-09-01,-163
Gornergletscher,B56-07,1914-09-01,1915-09-01,-169
Gornergletscher,B56-07,1915-09-01,1916-09-01,-179
Gornergletscher,B56-07,1916-09-01,1917-09-01,-187
Gornergletscher,B56-07,1917-09-01,1918-09-01,-194
Gornergletscher,B56-07,1918-09-01,1919-09-01,-210
Gornergletscher,B56-07,1919-09-01,1920-09-01,-224
Gornergletscher,B56-07,1920-09-01,1921-09-01,-241
Gornergletscher,B56-07,1921-09-01,1922-09-01,-253
Gornergletscher,B56-07,1922-09-01,1923-09-01,-263
Gornergletscher,B56-07,1923-09-01,1924-09-01,-275
Gornergletscher,B56-07,1924-09-01,1925-09-01,-282
Gornergletscher,B56-07,1925-09-01,1926-09-01,-288
Gornergletscher,B56-07,1926-09-01,1927-09-01,-298
Gornergletscher,B56-07,1927-09-01,1928-09-01,-304
Gornergletscher,B56-07,1928-09-01,1929-09-01,-306
Gornergletscher,B56-07,1929-09-01,1930-09-01,-322
